		
'144669504'	'759538971718201344'	.@solennheussaff finished strong in today's 10K race of the #MILOMarathon. Like her, you can #NUTRIUPYourGame too!\r\n
'1225200452'	'764800397580066820'	'@MuscleFoodUK more than just a box of food... House move now complete and chicken safe and sound! #TweetYourMeat\r\n'
'577232005'	'606869771792039937'	'Soft Serve officially opened!\r\n'
'614819686'	'741014382889443332'	We've been informed by Ponce City that Mon & Tues = re-coating sidewalks and that the aromatics might be unpleasant.\r\n
'68674747'	'756170475064135680'	'All set for the #HungarianGP ! Really looking forward to drive tomorrow . #r8g @HaasF1Team\r\n'
'2484717799'	'762435708728381440'	'#Instagram: @AshBenzo\r\n'
'117187755'	'757914753561923585'	'New #Colts center Ryan Kelly says he wants to make the four starters around him on the OL better.\r\n'
'223223150'	'750559343490269184'	'Some tennis action  with @jasoncollins98 olid doubles play on court today. @StanfordAlumni @GoStanford\r\n'
'598368235'	'480831179684208641'	'Forgotten Photographs // limited to 150 copies // nearly sold out // #LarryClark\r\n'
'24984971'	'742463804261335040'	'Nick Cannon to Roll onto Season 2 of Jay Lenos?Garage\r\n'
'165853598'	'753621192821661700'	'Unable to use @Periscope from scene. Will provide more info & pics soon. #ChattFire\r\n'
'1284352104'	'619150497644048384'	'A Trenta kinda day. @Starbucks always to the rescue. #tired\r\n'
'374896449'	'669594354504196096'	'@NBCSports Check out the new #PackersFence @spencernyoung and I did for the Thanksgiving Game tomorrow!\r\n'
'385895615'	'762577862671101952'	'You can book our new Family Discovery Experience here: Just 27.50 for 2 adults & 3 children\r\n'
'60785444'	'763864418681847808'	'this mary-kate look is all i ever hope to achieve\r\n'
'68462484'	'759873159965224960'	'Spent the last two days at events with @jamaalmagloire, assistant coach of the @Raptors. A true gentleman!\r\n'
'4822448092'	'763813032636063744'	'#HuddersfieldHour #HalifaxHour #KirkleesHour the end of the #handsoffhri 24 hr vigil outside HRI\r\n'
'2288605838'	'747396591636647936'	'Join @FINNWx_TWCNews & I for the Capital Region forecast. .\r\n'
'45266558'	'750077356975398912'	'Merica???? Happy 4th\r\n'
'47981958'	'742421847992500224'	'Intersection of Mt Vernon/Sandy Springs Cir back open - AHEAD of schedule\r\n'
'322744081'	'763636662240878592'	'Met Charlotte outside Dohertys. Thanks for stopping!\r\n'
'95431448'	'762297011458674688'	'Newbury Street in Boston will be a pedestrian zone today with traffic blocked\r\n'
'6039302'	'760944223831011328'	'Man charged in killing of his mother and another of her sons in St. Louis\r\n'
'72425137'	'763542451508228096'	'very proud CEO who loves a modest, mid-size sedan\r\n'
'249901977'	'761563891021254656'	'Again, NO buildings are affected in west campus, a natural gas line was struck. Check back for updates. #GaTechPD\r\n'
'38072211'	'755121102674796544'	'6 gadgets thatl keep you cool this summer, like this seat fan!\r\n'
'242922333'	'755545047060316160'	Cleveland's Public Square once again takes on festive air.#RNCinCLE\r\n
'263701494'	'533167254607626240'	'No thanks to @united for losing all of our bags! Now we will not be able to put on a show for our troops tonight\r\n'
'18519992'	'757635918245335041'	'Bernie supporters taking to the streets of Philadelphia. #DNCinPHL\r\n'
'165853598'	'764184846524612608'	'CPD says the deceased is a 48-yr-old man. CPD & CFD investigators trying to learn more on what happened. #ChattFire\r\n'
'29679737'	'763412116204167169'	'Too hot outside? Iceberg, right ahead. #untaggable #AudiQ2\r\n'
'1606733557'	'424536356677623809'	'Hey @BobbyHighLow - jealous?\r\n'
'25168363'	'534339377481015296'	'@Amala_ams loved you in the first look of #mili.looks like a fun movie.\r\n'
'899557800'	'756073944260763649'	'The #RoadtoEmotions tour brings us to #NuovaMito to @sirefestival: follow and join the tour\r\n'
'1703636814'	'757068255475355650'	'My guy @RyanSheckler put on a show today and made it look easy. Congrats on the win fam!! \r\n'
